title,created,created_year_month,profile_visits,impressions,follows,accounts_reached,saves,likes,comments,shares
"some other reasons porn isnt realistic:
it typically starts mid sexual encounter and therefore doesnt show pre-sex communication, like asking for consent 
it generally doesnt show on-going sexual consent communication during the encounter 
it is often penetration-focused
it commonly features actors with artificially augmented bodies
also, here are some reasons porn can be harmful:
it often fetishizes people of different racialized identities
as seen above, it can create unrealistic expectations for sex
it can normalize sexual violence
some actors in porn videos may not be engaging in porn voluntarily 
it can lead to objectification 
it can be especially harmful when used by teens, as some researchers believe that their brains cant process pornagraphic material like adult brains do
likewise, it often gives teens a unrealistic perception of sex (e.g., that violence is normal)
all of that said, i want to emphasize that just because porn may be harmful and unrealistic does not mean that people dont use it
porn usage is extremely common and first exposure is generally unintentional and around age 11
involuntary exposure to porn can happen, even when participating in something as a innocuous as a zoom meeting (i.e., if the meeting is zoom bombed)
porn also often serves as a form of sex ed for many teens, as they often dont get information about sex from other places
finally, just because someone uses or has used porn does not mean they have an addiction or are a horrible person; sometimes porn usage is a result of trying to deal with stress, loneliness, etc.
^this may seem obvious or ridiculous to some, but this information is often unknown to communities that have strong reactions to learning of porn usage (e.g., religious groups)
share  and save  if you learned something new!
       ",2022-09-10T10:12:12,2022-09,22,2338,0,2167,21,205,0,50
"it may be obvious, but it bears repeating imo: sexual violence statistics are not just made up of numbers; each statistic is made up of someone who was brave enough to share their story and who has had to do the incredibly difficult work of trying to heal from this trauma
so when you hear things like 1 in 3 women or 1 in 6 men, that means that likely 1 in 3 women and 1 in 6 men that you know have experienced sa
if you havent started already, work on making yourself a safe space for a survivor; chances are that sa has impacted someone you care about (or even just see on a regular basis)
also, if you have personally experienced sa, check out the resources in my bio
if you know someone who was assaulted and disclosed to you, there are some resources for you there, as well 
      ",2022-09-09T20:51:23,2022-09,22,1305,4,1245,23,117,4,44
": @drsprankle 
yes! abstinence-only sex ed can not in good conscience be called sex education if all it does is tell people not to have sex or warn them about stis
is abstinence a valid option? yes. should we warn youth about stis? absolutely
but only telling students what not to do will most likely not help them to avoid things like early sexual debut, risky sex, teen pregnancy, and stis because they wont have been educated on how to avoid those things
even if a young person is committed to waiting until marriage to have sex, comprehensive sex ed has merritt, especially since it a) teaches about things like boundaries, consent, and communication and b) they will have a lot of the knowledge they need to have a healthy sexual relationship once married
comprehensive sex ed is associated with lower rates of sexual violence
in short, healthy, age-appropriate, and accurate sex education is the way to go. drop a  below if you agree!
       ",2022-09-09T09:23:18,2022-09,6,1309,0,1264,19,157,4,42
"want to interrupt sexual harassment, rape jokes, or any other inappropriate behavior but not sure how to go about it? youre not alone!
having been socialized to be polite, submissive, helpful, and not cause a scene, it can be really hard for me to feel like i can intervene
thankfully, there are many ways to interrupt* harassment when referring to the 5 ds of bystander intervention from @righttobeorg (formerly hollaback)
1 distract  this could look like changing the conversation topic, spilling your drink, asking the person being harassed for the time, etc.
2 delegate  this could look like asking a bartender for help, getting the attention of a store associate, etc.
3 document  this often looks like filming the harassment from a safe distance and then asking the person who was harassed what they would like done with it
also: if the person asks you to stop filming, stop immediately and delete the video
4 delay  this might look like going up to the person after the harassment happens and asking them if they are okay, offering to accompany them to their destination, etc.
5 (being) direct  this may look like directly telling the harasser to stop (or something like it)
this is the kind of approach that comes to mind for a lot of people when thinking about bystander intervention
however, as we can see, there is a host of ways to interrupt a problematic situation
choose one that feels most natural for you and practice what you might say or do in a situation that needs interrupting
which of the 5 ds have you used (or would you use)? comment below 
*disclaimer: as @righttobeorg emphasizes, only intervene if you feel safe doing so; do not put yourself in harms way trying to stop victimization
also, i want to acknowledge that by posting this i am not implying that i am perfect at this or do the right thing every time
instead, my goal is to provide resources to help others feel comfortable intervening.
want to learn more about @righttobeorg and their trainings? check out the 
       ",2022-09-08T12:04:51,2022-09,1,635,0,583,3,34,0,8
"in all seriousness, though, i am glad that getting therapy and medication has started becoming more normalized
are we perfect? not at all -- ableism still can and does happen; sometimes it can feel like you have to hide your mental health challenges in order for your abilities and work to be validated. it feels awful and i am sorry if you can relate. but, know that you are not alone.
i also acknowledge that therapy is commonly dominated by white people and is often something that only the economically privileged can afford
if you are in need of a therapist or therapy service -- some of which are low or no-cost -- please check out the link in my bio; i have tried to compile some resources designed for different groups (e.g., therapy specifically for black men, lgbtq+ therapy, etc.)
**disclaimer: i have not personally used any of these services; they are only suggestions, so use at your own risk
some of these services may also not be divested from the police and many clinicians are mandated reporters of things like child abuse
           ",2022-09-07T10:01:13,2022-09,15,6216,0,6216,61,536,2,128
"**tw: rape**
: @theequalityinstitute 
laughing at rape jokes a) implies that rape isnt a big deal and b) trivializes the trauma experienced by rape survivors
some research has found that as many as 1 in 3 women and 1 in 4 men have experienced sa; odds are that someone within earshot of said joke is a sa survivor
so, if you think rape jokes are funny, get some new jokes  no amount of laughs is worth the pain of having your trauma minimized
        ",2022-09-06T08:47:07,2022-09,5,1024,0,974,5,97,12,18
"how much time do you have, @drlauriemintz ? 
what have you had to unlearn? drop your experience in the comments
              ",2022-09-05T12:09:53,2022-09,8,969,0,925,7,95,11,4
"to those who have not all men on the tip of their tongue, yes not every man is like this: statistics show this (e.g., 97% of sa is committed by a man); even repeatedly flipping a quarter could tell us that not all men are sexually coercive
not all men, but enough to still be having this conversation and enough that we are still blaming women for mens choices
       ",2022-09-03T13:31:47,2022-09,6,1400,0,1341,21,155,0,30
"don't get any ideas, mmkay? 
accepting a date is not consent
going to homecoming/prom/wpa/etc. is not consent
going to a party is not consent
dating is not consent
""talking"" (if you know, you know) is not consent 
             ",2022-09-01T13:43:31,2022-09,2,1351,0,1351,2,63,0,3
": @thehealthteacher 
: @elephant.ed 
we love a good pun 
all jokes aside, remember that there (generally) isn't always one universally right way to do things -- whether it's your healing journey or decisions* surrounding sexual health or birth control, be sure to do what works for you** 
*please make informed decisions about what works for you after consulting with a competent and invested healthcare professional and trusted sources such as @cdcgov 
that said, i acknowledge that not every has the privilege of making informed choices or making a choice at all, due to systemic oppression and discrimination (e.g., forced sterilization of black women, as per dorothy roberts' book killing the black body)
**this does not mean having tunnel vision and doing things that jeopardize others' wellbeing (e.g., refusing to wear a condom, not asking for consent, etc.)
             ",2022-09-01T11:41:46,2022-09,5,581,2,561,0,23,4,2
": @nathanwpyle 
remember -- there is no ""right"" or ""normal"" amount of time to heal; trauma takes time! 
whether you are a victim/survivor yourself or love someone who has been victimized (or both ), @rainn has some great resources to help with the journey -- see  for more info 
              ",2022-08-31T11:50:16,2022-08,2,578,0,540,0,33,2,2
"""science rules!"" 
seriously, though, how amazing is the human body!? one more reason to teach comprehensive sex education in positive, age-appropriate, and accurate ways throughout childhood
           ",2022-08-30T16:20:41,2022-08,19,2599,10,2477,23,217,5,98
"if someone is communicating anything but a clear ""yes"", you stop regardless of whether you are already engaging in sexual behavior
this is especially important to remember given that first-year college students are squarely in the ""red-zone"" right now (first 6-8 weeks of the first semester), wherein they are most likely to experience sexual assault during college by a peer
as @gregorymckeown says, ""if it's not a clear yes, then it's a clear no.""
                ",2022-08-30T10:51:16,2022-08,39,3456,8,3381,89,333,9,213
"**not my artwork**
^please credit @famousfemaleartist if you repost!
:@howtobehumanpod 
the @kinseyinstitute provides one more reason for comprehensive sex ed: the average age of people in the u.s. at first sex is 17*
in other words, even if first-year college students** receive formalized education on topics such as consent, birth control, anatomy, boundaries, etc. there is a good chance that they've already had sex
on top of this, not every teen/young adult will attend college; non-matriculated young adults will thus be left out if the expectation is that people learn about sex at college
even if a teen/young adult is committed to abstinence prior to marriage, the average age of first exposure to pornography is around age 11 and most teens have seen pornography well before they enter adulthood or get married; as dr. paul weigle from @hartford_healthcare has stated, ""porn has become the biggest source of sex education for a lot of young people.""***
so, what's the takeaway? talk to your kids about sex in positive, accurate, and age-appropriate ways. otherwise, they will likely receive their sex ""education"" from pornography, peers, and other sources that don't have their safety and best interest at heart
not sure where to start? check out ""recommended readings"" tab at the  
*i acknowledge that not everyone experiences sexual attraction or desire and that is totally okay!
**this is also problematic in that not all young adults attend college; only those who can afford it and for which college is a good fit would likely receive comprehensive sex education if it were only offered at the university level
***see the  for the full article
        ",2022-08-29T16:19:35,2022-08,12,1369,4,929,6,64,5,6
": @thisisfeministbro 
love a solid male feminist tweet 
and yes, we need to expand this conversation to include unwanted sex (i.e., rape); not just unwanted pregnancies
              ",2022-08-29T12:38:02,2022-08,7,2129,0,1446,24,164,0,67
": @nathanwpyle 
come unto me, all ye that labour and are heavy laden, and i will give you rest matt. 11:28 
your personal strugglesyour individual sorrows, pains, tribulations, and infirmities of every kindare all known to our father in heaven and to his son 
evan a. schmutz
survivors, victims, others who are hurting  your struggles and your pain and your journey are valid! i see you 
              ",2022-08-28T12:33:45,2022-08,12,1251,0,651,4,60,0,18
": unknown
may your weekend be happy and your sex education be 
 positive 
 accurate
 trauma-informed
 critical
 and age-appropriate
got any funny/awkward/memorable experiences from a health/sex ed class? drop them below! 
         ",2022-08-26T15:21:12,2022-08,4,1840,0,906,7,82,1,11
": unknown
ah yes, the ""cliboris"" 
have you taken a sexuality class? what's something you learned from it?
          ",2022-08-26T10:29:24,2022-08,7,2458,0,1175,2,119,24,36
